id,Categoria,Produto,Preço,Link
1,Placas de Vídeo,"Placa de Vídeo XFX AMD RADEON RX 7600 Gaming Graphics Card, 8GB, GDDR6 - RX-76PMBABFY",1799.99,https://www.kabum.com.br/produto/723235/placa-de-video-xfx-amd-radeon-rx-7600-gaming-graphics-card-8gb-gddr6-rx-76pmbabfy
2,Placas de Vídeo,"Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6 - 90-GA2RZZ-00UANF",1599.99,https://www.kabum.com.br/produto/235984/placa-de-video-rx-6600-cld-8g-asrock-amd-radeon-8gb-gddr6-90-ga2rzz-00uanf
3,Placas de Vídeo,"Placa de Vídeo RX 7600 Challenger ASRock AMD Radeon, 8GB GDDR6 - 90-GA41ZZ-00UANF",1699.99,https://www.kabum.com.br/produto/459144/placa-de-video-rx-7600-challenger-asrock-amd-radeon-8gb-gddr6-90-ga41zz-00uanf
4,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 3050 Windforce OC NVIDIA GeForce, 6GB, GDDR6, DLSS, Ray Tracing - GV-N3050WF2OCV2-6GD",1379.9,https://www.kabum.com.br/produto/681586/placa-de-video-gigabyte-rtx-3050-windforce-oc-nvidia-geforce-6gb-gddr6-dlss-ray-tracing-gv-n3050wf2ocv2-6gd
5,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5070 WINDFORCE OC SFF 12G NVIDIA GeForce, 12GB GDDR7, 192bits, DLSS, Ray Tracing - 9VN5070WO-00-G10",4499.99,https://www.kabum.com.br/produto/714574/placa-de-video-gigabyte-rtx-5070-windforce-oc-sff-12g-nvidia-geforce-12gb-gddr7-192bits-dlss-ray-tracing-9vn5070wo-00-g10
6,Placas de Vídeo,"Placa de Vídeo RX 7600 GAMING OC 8G AMD Radeon Gigabyte, 8GB, GDDR6, 128bits, RGB - GV-R76GAMING OC-8GD",1899.9,https://www.kabum.com.br/produto/475647/placa-de-video-rx-7600-gaming-oc-8g-amd-radeon-gigabyte-8gb-gddr6-128bits-rgb-gv-r76gaming-oc-8gd
7,Placas de Vídeo,"Placa de Vídeo RX 7800XT Gaming 16G XFX Speedster QICK319 AMD Radeon, 16GB DDR6, HDMI 3xDP 3 FAN - RX-78TQICKF9",3899.99,https://www.kabum.com.br/produto/576423/placa-de-video-rx-7800xt-gaming-16g-xfx-speedster-qick319-amd-radeon-16gb-ddr6-hdmi-3xdp-3-fan-rx-78tqickf9
8,Placas de Vídeo,"Placa de Vídeo RTX 4060 TI Rog-Strix O8G Gaming NVIDIA GeForce, 8GB GDDR6, ARGB, DLSS, Ray Tracing, G-Sync - ROG-STRIX-RTX4060TI-O8G-GAMING",3499.9,https://www.kabum.com.br/produto/501560/placa-de-video-rtx-4060-ti-rog-strix-o8g-gaming-nvidia-geforce-8gb-gddr6-argb-dlss-ray-tracing-g-sync-rog-strix-rtx4060ti-o8g-gaming
9,Placas de Vídeo,"Placa de Vídeo MSI GeForce RTX 5070 12G VENTUS 2X OC,12 GB GDDR7, 28Gbps, NVIDIA GeForce RTX 5070- G5070-12V2C",4599.99,https://www.kabum.com.br/produto/725587/placa-de-video-msi-geforce-rtx-5070-12g-ventus-2x-oc-12-gb-gddr7-28gbps-nvidia-geforce-rtx-5070-g5070-12v2c
10,Placas de Vídeo,"Placa de Vídeo RX 7600 Series Graphics Cards XFX AMD Radeon, 8GB GDDR6 - RX-76PQICKBY",1899.99,https://www.kabum.com.br/produto/463543/placa-de-video-rx-7600-series-graphics-cards-xfx-amd-radeon-8gb-gddr6-rx-76pqickby
11,Placas de Vídeo,"Placa de Vídeo ASRock RX 6600 Challenger White AMD Radeon, 8GB, GDDR6, DirectX 12 Ultimate, RDNA 2 - 90-GA4UZZ-00UANF",1799.99,https://www.kabum.com.br/produto/695107/placa-de-video-asrock-rx-6600-challenger-white-amd-radeon-8gb-gddr6-directx-12-ultimate-rdna-2-90-ga4uzz-00uanf
12,Placas de Vídeo,"Placa de Vídeo RX 6650XT XFX Speedster SWFT210 AMD Radeon, 8GB GDDR6, HDMI 3xDP 2 FAN - RX-665X8DFDY",1699.99,https://www.kabum.com.br/produto/576421/placa-de-video-rx-6650xt-xfx-speedster-swft210-amd-radeon-8gb-gddr6-hdmi-3xdp-2-fan-rx-665x8dfdy
13,Placas de Vídeo,"Placa de Vídeo Galax RTX 4060 1-Click OC 2X GEN2 NVIDIA GeForce, 8GB, 128bit, GDDR6, G-SYNC, DirectX 12 Ultimate - 527210-0134",2399.99,https://www.kabum.com.br/produto/770131/placa-de-video-galax-rtx-4060-1-click-oc-2x-gen2-nvidia-geforce-8gb-128bit-gddr6-g-sync-directx-12-ultimate-527210-0134
14,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5070 Ti WINDFORCE SFF 16G NVIDIA GeForce, 16GB, GDDR7, 256bits, DLSS, Ray Tracing - 9VN507TW-00-G10",6999.99,https://www.kabum.com.br/produto/726400/placa-de-video-gigabyte-rtx-5070-ti-windforce-sff-16g-nvidia-geforce-16gb-gddr7-256bits-dlss-ray-tracing-9vn507tw-00-g10
15,Placas de Vídeo,"Placa de Vídeo ASRock RX 9060 XT CL 16GO AMD Radeon, 16GB, GDDR6, 128bits, OpenGL 4.6, RDNA 4 - RX9060XT CL 16GO",3039.9,https://www.kabum.com.br/produto/779095/placa-de-video-asrock-rx-9060-xt-cl-16go-amd-radeon-16gb-gddr6-128bits-opengl-4-6-rdna-4-rx9060xt-cl-16go
16,Placas de Vídeo,"Placa de Vídeo Sapphire Pulse RX 6500 XT Gaming OC AMD, 8GB, GDDR6, 2855MHz, HDMI e DP - 11314-08-20G",1299.99,https://www.kabum.com.br/produto/718029/placa-de-video-sapphire-pulse-rx-6500-xt-gaming-oc-amd-8gb-gddr6-2855mhz-hdmi-e-dp-11314-08-20g
17,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5060 WINDFORCE OC 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Ray Tracing - GV-N5060WF2OC-8GD",2749.9,https://www.kabum.com.br/produto/777076/placa-de-video-gigabyte-rtx-5060-windforce-oc-8g-nvidia-geforce-8gb-gddr7-128bits-dlss-ray-tracing-gv-n5060wf2oc-8gd
18,Placas de Vídeo,"Placa de Vídeo XFX RX 9060 XT OC AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, Triple Fan, RDNA 4 - RX-96TS316B7",3239.9,https://www.kabum.com.br/produto/870973/placa-de-video-xfx-rx-9060-xt-oc-amd-radeon-16gb-gddr6-128bits-20-gbps-triple-fan-rdna-4-rx-96ts316b7
19,Placas de Vídeo,"Placa de Vídeo RX 6500 XT V2 OC Edition, 4GB GDDR6, Axial-tech fans, 2-slot design - DUAL-RX6500XT-O4G-V2",1099.99,https://www.kabum.com.br/produto/688564/placa-de-video-rx-6500-xt-v2-oc-edition-4gb-gddr6-axial-tech-fans-2-slot-design-dual-rx6500xt-o4g-v2
20,Placas de Vídeo,"Placa de Vídeo Galax NVIDIA GeForce RTX 3060, 12GB GDDR6, LHR, 1-Click OC, 15GBps, Ray Tracing, DLSS - 36NOL7MD1VOC",2599.99,https://www.kabum.com.br/produto/174762/placa-de-video-galax-nvidia-geforce-rtx-3060-12gb-gddr6-lhr-1-click-oc-15gbps-ray-tracing-dlss-36nol7md1voc
21,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5060 GAMING OC 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Triple Fan, Ray Tracing - GV-N5060GAMING OC-8GD",2999.9,https://www.kabum.com.br/produto/777073/placa-de-video-gigabyte-rtx-5060-gaming-oc-8g-nvidia-geforce-8gb-gddr7-128bits-dlss-triple-fan-ray-tracing-gv-n5060gaming-oc-8gd
22,Placas de Vídeo,"Placa de Vídeo RTX 4060 VENTUS 2x Black OC MSI NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing",2699.99,https://www.kabum.com.br/produto/469132/placa-de-video-rtx-4060-ventus-2x-black-oc-msi-nvidia-geforce-8gb-gddr6-dlss-ray-tracing
23,Placas de Vídeo,Placa De Vídeo Nvidia Geforce Galax RTX4060 8GB Gddr6 128 Bits Black Gf 1-click Oc - 46nsl8mdapco,2299.0,https://www.kabum.com.br/produto/869470/placa-de-video-nvidia-geforce-galax-rtx4060-8gb-gddr6-128-bits-black-gf-1-click-oc-46nsl8mdapco
24,Placas de Vídeo,"Placa de Vídeo ASRock RX 9060 XT SL 16GO AMD Radeon, 16GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6, RDNA 4 - RX9060XT SL 16GO",3229.9,https://www.kabum.com.br/produto/779094/placa-de-video-asrock-rx-9060-xt-sl-16go-amd-radeon-16gb-gddr6-128bits-triple-fan-opengl-4-6-rdna-4-rx9060xt-sl-16go
25,Placas de Vídeo,"Placa de Vídeo RX 550 AMD PCYes Dual Fan Projeto Edge, 4GB GDDR5, 128 BITS - PVEX5504GBDF",549.88,https://www.kabum.com.br/produto/525880/placa-de-video-rx-550-amd-pcyes-dual-fan-projeto-edge-4gb-gddr5-128-bits-pvex5504gbdf
26,Placas de Vídeo,"Placa de Vídeo Gigabyte RX 9060 XT Gaming OC AMD Radeon, 16GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6 - GV-R9060XTGAMING OC-16GD",3499.99,https://www.kabum.com.br/produto/734678/placa-de-video-gigabyte-rx-9060-xt-gaming-oc-amd-radeon-16gb-gddr6-128bits-triple-fan-opengl-4-6-gv-r9060xtgaming-oc-16gd
27,Placas de Vídeo,"Placa de Vídeo ASUS PRIME RTX 5070 O12G NVIDIA Geforce, 12GB, GDDR7, Blackwell e DLSS4, Ray Tracing, Edição OC - 90YV0M10-M0NA00",4699.99,https://www.kabum.com.br/produto/706476/placa-de-video-asus-prime-rtx-5070-o12g-nvidia-geforce-12gb-gddr7-blackwell-e-dlss4-ray-tracing-edicao-oc-90yv0m10-m0na00
28,Placas de Vídeo,"Placa de Vídeo MSI RTX 5060 Ti 8G VENTUS 2X OC PLUS NVIDIA GeForce, 8GB GDDR7, 128-bit, 2617 MHz, FP4 e DLSS 4, Ray Tracing - G506T-8V2CP",3199.99,https://www.kabum.com.br/produto/751906/placa-de-video-msi-rtx-5060-ti-8g-ventus-2x-oc-plus-nvidia-geforce-8gb-gddr7-128-bit-2617-mhz-fp4-e-dlss-4-ray-tracing-g506t-8v2cp
29,Placas de Vídeo,"Placa de Vídeo RX 7600 XT ASUS AMD Radeon Tuf 16G Gaming OC, 16GB GDDR6 - 90YV0K20-M0NA00",2999.9,https://www.kabum.com.br/produto/529102/placa-de-video-rx-7600-xt-asus-amd-radeon-tuf-16g-gaming-oc-16gb-gddr6-90yv0k20-m0na00
30,Placas de Vídeo,"Placa de Vídeo XFX RX 9060 XT OC White AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, Triple Fan, FidelityFX, RDNA 4 - RX-96TS316W7",3239.9,https://www.kabum.com.br/produto/870974/placa-de-video-xfx-rx-9060-xt-oc-white-amd-radeon-16gb-gddr6-128bits-20-gbps-triple-fan-fidelityfx-rdna-4-rx-96ts316w7
31,Placas de Vídeo,"Placa de Vídeo RTX 5070 WINDFORCE SFF 12G Gigabyte NVIDIA GeForce, 12GB, GDDR7, 192bits, DLSS, Ray Tracing - 9VN5070W-00-G10",4599.99,https://www.kabum.com.br/produto/726401/placa-de-video-rtx-5070-windforce-sff-12g-gigabyte-nvidia-geforce-12gb-gddr7-192bits-dlss-ray-tracing-9vn5070w-00-g10
32,Placas de Vídeo,"Placa de Vídeo RX 7600 XT OC ASUS AMD Radeon Dual O16G, 16GB GDDR6 - 90YV0K21-M0NA00",2799.9,https://www.kabum.com.br/produto/529101/placa-de-video-rx-7600-xt-oc-asus-amd-radeon-dual-o16g-16gb-gddr6-90yv0k21-m0na00
33,Placas de Vídeo,"Placa de Vídeo XFX Mercury RX 9070 XT OC GAMING EDITION WITH AMD Radeon, RGB, 16GB, GDDR6, HDMI 3xDP, RDNA 4 - RX-97TRGBBB9",5999.99,https://www.kabum.com.br/produto/725945/placa-de-video-xfx-mercury-rx-9070-xt-oc-gaming-edition-with-amd-radeon-rgb-16gb-gddr6-hdmi-3xdp-rdna-4-rx-97trgbbb9
34,Placas de Vídeo,"Placa de Vídeo Palit RTX 5070 Ti GameRock NVIDIA GeForce, 16GB, GDDR7, ARGB SYNC EVO, G-Sync, Ray Tracing, DLSS 4 - NE7507T019T2-GB2030G",7899.99,https://www.kabum.com.br/produto/697759/placa-de-video-palit-rtx-5070-ti-gamerock-nvidia-geforce-16gb-gddr7-argb-sync-evo-g-sync-ray-tracing-dlss-4-ne7507t019t2-gb2030g
35,Placas de Vídeo,"Placa de Vídeo GTX 750 TI PCYes NVIDIA GeForce, 4GB GDDR5, 128 Bit, Full Size - PA750TIR5DFFS",599.99,https://www.kabum.com.br/produto/616773/placa-de-video-gtx-750-ti-pcyes-nvidia-geforce-4gb-gddr5-128-bit-full-size-pa750tir5dffs
36,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5070 GAMING OC 12G NVIDIA GeForce, 12GB GDDR7, 192bits, RGB, DLSS, Ray Tracing - 9VN5070GO-00-G10",4849.9,https://www.kabum.com.br/produto/714571/placa-de-video-gigabyte-rtx-5070-gaming-oc-12g-nvidia-geforce-12gb-gddr7-192bits-rgb-dlss-ray-tracing-9vn5070go-00-g10
37,Placas de Vídeo,"Placa de Vídeo ASUS RTX5090 ROG Astral Gaming OC NVIDIA GeForce, 32GB, GDDR7, ARGB, G-Sync, Ray Tracing, DLSS 4, HDR - 90YV0LW0-M0NA00",21999.99,https://www.kabum.com.br/produto/700804/placa-de-video-asus-rtx5090-rog-astral-gaming-oc-nvidia-geforce-32gb-gddr7-argb-g-sync-ray-tracing-dlss-4-hdr-90yv0lw0-m0na00
38,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5060 EAGLE OC 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Ray Tracing - GV-N5060EAGLE OC-8GD",2679.9,https://www.kabum.com.br/produto/777075/placa-de-video-gigabyte-rtx-5060-eagle-oc-8g-nvidia-geforce-8gb-gddr7-128bits-dlss-ray-tracing-gv-n5060eagle-oc-8gd
39,Placas de Vídeo,"Placa de Vídeo RX 6750XT Gaming XFX Graphics Card AMD Radeon, 12GB GDDR6, Ray tracing, Fidelity FX - RX-675TMBAF9",2899.99,https://www.kabum.com.br/produto/528811/placa-de-video-rx-6750xt-gaming-xfx-graphics-card-amd-radeon-12gb-gddr6-ray-tracing-fidelity-fx-rx-675tmbaf9
40,Placas de Vídeo,"Placa de Vídeo RTX 5060 Ti GAMING OC 16G Gigabyte NVIDIA GeForce, 16GB GDDR7, 128bits, RGB, DLSS, Ray Tracing - GV-N506TGAMING OC-16GD",4099.99,https://www.kabum.com.br/produto/747550/placa-de-video-rtx-5060-ti-gaming-oc-16g-gigabyte-nvidia-geforce-16gb-gddr7-128bits-rgb-dlss-ray-tracing-gv-n506tgaming-oc-16gd
41,Placas de Vídeo,"Placa de Vídeo XFX Swift RX 9070 XT TRIPLE FAN GAMING EDITION WITH AMD Radeon, 16GB, GDDR6, HDMI 3xDP, RDNA 4 - RX-97TSWF3B9",5599.99,https://www.kabum.com.br/produto/725947/placa-de-video-xfx-swift-rx-9070-xt-triple-fan-gaming-edition-with-amd-radeon-16gb-gddr6-hdmi-3xdp-rdna-4-rx-97tswf3b9
42,Placas de Vídeo,"Placa de Vídeo PCyes NVIDIA RTX 2060 Graffiti Series, 6GB, GDDR6, Preto - PA2060RTX6GDF",1584.41,https://www.kabum.com.br/produto/348098/placa-de-video-pcyes-nvidia-rtx-2060-graffiti-series-6gb-gddr6-preto-pa2060rtx6gdf
43,Placas de Vídeo,"Placa de Vídeo XFX Quicksilver RX 9070 XT GAMING EDITION WITH 16GB AMD Radeon, GDDR6, HDMI 3xDP, RDNA 4 - RX-97TQICKB9",5699.99,https://www.kabum.com.br/produto/725943/placa-de-video-xfx-quicksilver-rx-9070-xt-gaming-edition-with-16gb-amd-radeon-gddr6-hdmi-3xdp-rdna-4-rx-97tqickb9
44,Placas de Vídeo,"Placa de Vídeo Galax GeForce RTX 3050 EX V2, 6GB, GDDR6, 96 Bits - 35NRLDHP9OID",1449.9,https://www.kabum.com.br/produto/703109/placa-de-video-galax-geforce-rtx-3050-ex-v2-6gb-gddr6-96-bits-35nrldhp9oid
45,Placas de Vídeo,"Suporte Para Placa De Vídeo Ntc, R10, Preto - R10blk",18.9,https://www.kabum.com.br/produto/505855/suporte-para-placa-de-video-ntc-r10-preto-r10blk
46,Placas de Vídeo,"Placa de Vídeo RX 7800 XT Magnetic Air Gaming Graphics Card with XFX Qicksilver White AMD Radeon, 16GB GDDR6, Freesync - RX-78TMAIRW9",3899.99,https://www.kabum.com.br/produto/597688/placa-de-video-rx-7800-xt-magnetic-air-gaming-graphics-card-with-xfx-qicksilver-white-amd-radeon-16gb-gddr6-freesync-rx-78tmairw9
47,Placas de Vídeo,"Placa de Vídeo Gigabyte RX 9070 XT GAMING OC 16G AMD Radeon, RGB, 16GB, GDDR6, 256bits, OpenGL 4.6 - GV-R9070XTGAMING OC-16GD",6099.89,https://www.kabum.com.br/produto/698457/placa-de-video-gigabyte-rx-9070-xt-gaming-oc-16g-amd-radeon-rgb-16gb-gddr6-256bits-opengl-4-6-gv-r9070xtgaming-oc-16gd
48,Placas de Vídeo,"Placa De Vídeo Galax GeForce RTX 4060, 8GB, 1 Click Oc V2, GDDR6, 128 Bits - 46nsl8md9nxv",2703.55,https://www.kabum.com.br/produto/573742/placa-de-video-galax-geforce-rtx-4060-8gb-1-click-oc-v2-gddr6-128-bits-46nsl8md9nxv
49,Placas de Vídeo,"Placa de Vídeo RTX 4060 TI DUAL 8G OC EVO White ASUS NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Trancing, G-Sync - DUAL-RTX4060TI-O8G-EVO-WHITE",3499.99,https://www.kabum.com.br/produto/688565/placa-de-video-rtx-4060-ti-dual-8g-oc-evo-white-asus-nvidia-geforce-8gb-gddr6-dlss-ray-trancing-g-sync-dual-rtx4060ti-o8g-evo-white
50,Placas de Vídeo,"Placa de Vídeo MSI RTX 5060 Ti 16G GAMING TRIO OC NVIDIA GeForce, 16GB GDDR7, 128-bit, 2662 MHz, FP4 e DLSS 4, Ray Tracing - G506T-16GTC",4499.99,https://www.kabum.com.br/produto/751907/placa-de-video-msi-rtx-5060-ti-16g-gaming-trio-oc-nvidia-geforce-16gb-gddr7-128-bit-2662-mhz-fp4-e-dlss-4-ray-tracing-g506t-16gtc
51,Placas de Vídeo,Placa De Video Vx Pro Geforce G210 512mb Ddr3 64 Bits G210lp-512md3 HDMI/vga/dvi,85.0,https://www.kabum.com.br/produto/776877/placa-de-video-vx-pro-geforce-g210-512mb-ddr3-64-bits-g210lp-512md3-hdmi-vga-dvi
52,Placas de Vídeo,"Placa de Vídeo ASUS TUF RTX 5060 TI O16G GAMING NVIDIA GeForce, 16GB GDDR7, 128 bits, DLSS 4, Ray Tracing - 90YV0MG0-M0NA00",4199.99,https://www.kabum.com.br/produto/730377/placa-de-video-asus-tuf-rtx-5060-ti-o16g-gaming-nvidia-geforce-16gb-gddr7-128-bits-dlss-4-ray-tracing-90yv0mg0-m0na00
53,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5060 Ti GAMING OC 8G NVIDIA GeForce, 8GB GDDR7, RGB, DLSS, Ray Tracing - GV-N506TGAMING OC-8GD",3399.99,https://www.kabum.com.br/produto/761530/placa-de-video-gigabyte-rtx-5060-ti-gaming-oc-8g-nvidia-geforce-8gb-gddr7-rgb-dlss-ray-tracing-gv-n506tgaming-oc-8gd
54,Placas de Vídeo,"Placa De Vídeo RTX 3050 Msi Geforce, Low Profile, 6GB, GDDR6, 96 Bits - 912-V812-023",1499.0,https://www.kabum.com.br/produto/565376/placa-de-video-rtx-3050-msi-geforce-low-profile-6gb-gddr6-96-bits-912-v812-023
55,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5070 Ti GAMING OC 16G NVIDIA GeForce, 16GB GDDR7, 256bits, RGB, DLSS, Ray Tracing - 9VN507TGO-00-G10",7299.9,https://www.kabum.com.br/produto/714565/placa-de-video-gigabyte-rtx-5070-ti-gaming-oc-16g-nvidia-geforce-16gb-gddr7-256bits-rgb-dlss-ray-tracing-9vn507tgo-00-g10
56,Placas de Vídeo,"Placa de Vídeo MSI RTX 5060 8G VENTUS 2X OC Geforce NVIDIA, 8GB, GDDR7, 128 bits, 2535 MHz, DLSS 4, Ray Tracing - G5060-8V2C",2599.99,https://www.kabum.com.br/produto/877565/placa-de-video-msi-rtx-5060-8g-ventus-2x-oc-geforce-nvidia-8gb-gddr7-128-bits-2535-mhz-dlss-4-ray-tracing-g5060-8v2c
57,Placas de Vídeo,Vga Msi Nv Gf RTX5060 8GB Gddr7 128bits Shadow 2x Oc 912-v537-037,3190.0,https://www.kabum.com.br/produto/882316/vga-msi-nv-gf-rtx5060-8gb-gddr7-128bits-shadow-2x-oc-912-v537-037
58,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5060 EAGLEOC ICE 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Ray Tracing - GV-N5060EAGLEOC ICE-8GD",2699.99,https://www.kabum.com.br/produto/777074/placa-de-video-gigabyte-rtx-5060-eagleoc-ice-8g-nvidia-geforce-8gb-gddr7-128bits-dlss-ray-tracing-gv-n5060eagleoc-ice-8gd
59,Placas de Vídeo,"Placa De Vídeo Galax, Geforce RTX 3050 Ex V2 (1-click Oc), 6gb, Gddr6 - 35nrldhp9oid",1472.63,https://www.kabum.com.br/produto/727452/placa-de-video-galax-geforce-rtx-3050-ex-v2-1-click-oc-6gb-gddr6-35nrldhp9oid
60,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5070 Ti WINDFORCE OC SFF 16G NVIDIA GeForce, 16GB GDDR7, 256bits, DLSS, Ray Tracing - 9VN507TWO-00-G10",6899.99,https://www.kabum.com.br/produto/714568/placa-de-video-gigabyte-rtx-5070-ti-windforce-oc-sff-16g-nvidia-geforce-16gb-gddr7-256bits-dlss-ray-tracing-9vn507two-00-g10
61,Placas de Vídeo,"Placa de Vídeo Palit RTX 5070 Ti GameRock NVIDIA GeForce OC, 16GB, GDDR7, ARGB SYNC EVO, Ray Tracing, DLSS 4 - NE7507TH19T2-GB2030G",7299.9,https://www.kabum.com.br/produto/697758/placa-de-video-palit-rtx-5070-ti-gamerock-nvidia-geforce-oc-16gb-gddr7-argb-sync-evo-ray-tracing-dlss-4-ne7507th19t2-gb2030g
62,Placas de Vídeo,"Placa de Vídeo RTX 5060 Ti EAGLE OC 16G Gigabyte NVIDIA GeForce, 16GB GDDR7, 128bits, RGB, DLSS, Ray Tracing - GV-N506TEAGLE OC-16GD",4149.9,https://www.kabum.com.br/produto/747552/placa-de-video-rtx-5060-ti-eagle-oc-16g-gigabyte-nvidia-geforce-16gb-gddr7-128bits-rgb-dlss-ray-tracing-gv-n506teagle-oc-16gd
63,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5070 AERO 12G NVIDIA GeForce, 12GB GDDR7, 192bits, RGB, DLSS, Ray Tracing - 9VN5070AO-00-G10",5399.9,https://www.kabum.com.br/produto/714570/placa-de-video-gigabyte-rtx-5070-aero-12g-nvidia-geforce-12gb-gddr7-192bits-rgb-dlss-ray-tracing-9vn5070ao-00-g10
64,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5060 Ti AERO OC 8G NVIDIA GeForce, 8GB GDDR7, DLSS, Ray Tracing - GV-N506TAERO OC-8GD",3499.9,https://www.kabum.com.br/produto/761531/placa-de-video-gigabyte-rtx-5060-ti-aero-oc-8g-nvidia-geforce-8gb-gddr7-dlss-ray-tracing-gv-n506taero-oc-8gd
65,Placas de Vídeo,"Placa de Vídeo SAPPHIRE RX 9060 XT PULSE AMD Radeon, 16GB, GDDR6, 20 Gbps, FidelityFX, RDNA 4 - 11350-03-20G",3179.9,https://www.kabum.com.br/produto/875347/placa-de-video-sapphire-rx-9060-xt-pulse-amd-radeon-16gb-gddr6-20-gbps-fidelityfx-rdna-4-11350-03-20g
66,Placas de Vídeo,"Placa de Vídeo Sapphire PULSE RX 9070 XT GAMING AMD Radeon, 16GB, GDDR6, Dual HDMI, Dual DP, RDNA 4 - 11348-03-20G",5849.9,https://www.kabum.com.br/produto/713199/placa-de-video-sapphire-pulse-rx-9070-xt-gaming-amd-radeon-16gb-gddr6-dual-hdmi-dual-dp-rdna-4-11348-03-20g
67,Placas de Vídeo,"Suporte Placa De Vídeo, 50-80mm, Vertical, Rosqueável, Preto, Coolmoon GH-80",44.85,https://www.kabum.com.br/produto/643995/suporte-placa-de-video-50-80mm-vertical-rosqueavel-preto-coolmoon-gh-80
68,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5080 GAMING OC, NVIDIA, 16GB, GDDR7, BIOS DUAL, IA com FP4, DLSS 4 - GV-N5080GAMING OC-16GD G10",9979.9,https://www.kabum.com.br/produto/697894/placa-de-video-gigabyte-rtx-5080-gaming-oc-nvidia-16gb-gddr7-bios-dual-ia-com-fp4-dlss-4-gv-n5080gaming-oc-16gd-g10
69,Placas de Vídeo,"Placa de Vídeo RX 7700XT Gaming 12G XFX Speedster QICK AMD Radeon, 12GB GDDR6, HDMI, 3xDP 3 FAN - RX-77TQICKB9",3399.99,https://www.kabum.com.br/produto/576422/placa-de-video-rx-7700xt-gaming-12g-xfx-speedster-qick-amd-radeon-12gb-gddr6-hdmi-3xdp-3-fan-rx-77tqickb9
70,Placas de Vídeo,"Placa de Vídeo ASRock RX6400 LP 4G AMD Radeon, 4GB, GDDR6, DirectX 12 Ultimate, RDNA 2 - 90-GA53ZZ-00UANF",1099.99,https://www.kabum.com.br/produto/728061/placa-de-video-asrock-rx6400-lp-4g-amd-radeon-4gb-gddr6-directx-12-ultimate-rdna-2-90-ga53zz-00uanf
71,Placas de Vídeo,"Placa de Vídeo MSI GeForce RTX 5080 16G SHADOW 3X OC, 16GB GDDR7, 256 bits, NVIDIA® GeForce RTX? 5080 - G5080-16S3C",9499.9,https://www.kabum.com.br/produto/725585/placa-de-video-msi-geforce-rtx-5080-16g-shadow-3x-oc-16gb-gddr7-256-bits-nvidia-geforce-rtx-5080-g5080-16s3c
72,Placas de Vídeo,"Placa de Vídeo ASUS RTX 5060 TI DUAL O8G NVIDIA GeForce, 8GB, GDDR7, DLSS, Ray Tracing - 90YV0MP2-M0NA00",3099.99,https://www.kabum.com.br/produto/761532/placa-de-video-asus-rtx-5060-ti-dual-o8g-nvidia-geforce-8gb-gddr7-dlss-ray-tracing-90yv0mp2-m0na00
73,Placas de Vídeo,"Placa de Vídeo Gigabyte RTX 5070 Ti EAGLE OC ICE SFF 16G NVIDIA GeForce, 16GB GDDR7, 256bits, RGB, DLSS, Ray Tracing - 9VN507TEOI-00-G10",7899.99,https://www.kabum.com.br/produto/714566/placa-de-video-gigabyte-rtx-5070-ti-eagle-oc-ice-sff-16g-nvidia-geforce-16gb-gddr7-256bits-rgb-dlss-ray-tracing-9vn507teoi-00-g10
74,Placas de Vídeo,"Placa de Vídeo MSI RTX 5070 12G GAMING TRIO OC NVIDIA GeForce, 12GB, GDDR7, 2610 MHz, DLSS4, Ray Tracing - G5070-12GTC",5359.9,https://www.kabum.com.br/produto/723225/placa-de-video-msi-rtx-5070-12g-gaming-trio-oc-nvidia-geforce-12gb-gddr7-2610-mhz-dlss4-ray-tracing-g5070-12gtc
75,Placas de Vídeo,Placa De Video PCyes Rx 570 Radeon 8GB GDDR5 256bits Pvex5708GB2f,1087.35,https://www.kabum.com.br/produto/770029/placa-de-video-pcyes-rx-570-radeon-8gb-gddr5-256bits-pvex5708gb2f
